,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
12,phishing,suspicious,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing,legitimate,phishing
13,legitimate,suspicious,phishing,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,suspicious,legitimate,phishing
14,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,suspicious,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate
15,legitimate,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing,legitimate,phishing
16,legitimate,legitimate,phishing,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,suspicious,phishing,phishing
17,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,suspicious,phishing,phishing
18,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate
19,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,phishing,phishing,phishing,phishing,legitimate,phishing,phishing,phishing,legitimate,phishing,phishing,legitimate
20,legitimate,phishing,phishing,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate
21,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate
22,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,legitimate
23,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,suspicious,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate
24,legitimate,legitimate,phishing,phishing,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate
25,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
26,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,phishing,phishing
27,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,phishing,phishing,legitimate
28,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate
29,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
30,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,legitimate
31,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,phishing,legitimate,phishing,suspicious,legitimate,legitimate,phishing,phishing,legitimate
32,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,suspicious,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate
33,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,phishing,legitimate
34,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,suspicious,phishing,phishing
35,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,suspicious,legitimate,phishing
36,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,phishing,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing
37,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing
38,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,suspicious,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,phishing,suspicious,phishing,legitimate
39,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,phishing,legitimate,legitimate
40,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,phishing,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,phishing,legitimate,legitimate
41,phishing,legitimate,phishing,legitimate,phishing,phishing,suspicious,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,phishing,legitimate,legitimate,legitimate
42,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,phishing,phishing
43,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing
44,legitimate,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,suspicious,phishing,phishing
45,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
46,phishing,suspicious,phishing,legitimate,phishing,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,phishing,suspicious,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,suspicious,phishing,legitimate
47,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,phishing,legitimate,phishing
48,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing
49,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,phishing,legitimate,phishing,legitimate
50,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing
51,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,phishing,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,phishing,phishing,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,phishing,phishing,legitimate,legitimate
52,phishing,legitimate,phishing,legitimate,phishing,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate,suspicious,suspicious,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,phishing,phishing,phishing,legitimate
53,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,phishing,legitimate,phishing
54,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,phishing,phishing
55,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,phishing,phishing,phishing
56,phishing,legitimate,phishing,legitimate,phishing,legitimate,suspicious,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
57,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,phishing,phishing,legitimate,legitimate,phishing,suspicious,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,phishing,legitimate
58,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,phishing,phishing
59,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,phishing,phishing,phishing,phishing,phishing,phishing,legitimate,suspicious,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,phishing,phishing
60,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,suspicious,legitimate,phishing
61,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing
62,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,phishing,legitimate
63,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,phishing,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,phishing
64,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,suspicious,suspicious,phishing,phishing,legitimate,legitimate,legitimate,suspicious,suspicious,suspicious,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate,phishing,suspicious,phishing,legitimate,phishing,legitimate,legitimate
65,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,phishing,phishing,legitimate
66,legitimate,suspicious,legitimate,legitimate,phishing,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,phishing,suspicious,phishing,legitimate,phishing,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,phishing,phishing
67,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,phishing,legitimate,phishing
68,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,phishing,legitimate
69,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,phishing
70,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,phishing,legitimate
71,phishing,legitimate,phishing,legitimate,phishing,phishing,suspicious,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,legitimate
72,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,phishing,phishing
73,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
74,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,phishing,legitimate,legitimate,phishing,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing
75,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,suspicious,legitimate,phishing
76,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,suspicious,legitimate,phishing,phishing,phishing,phishing,phishing,suspicious,legitimate,phishing,phishing,suspicious,phishing,legitimate,phishing,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,phishing,phishing,legitimate
77,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,suspicious,phishing,phishing,phishing,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,phishing,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,suspicious,phishing,legitimate
78,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,phishing
79,phishing,legitimate,phishing,legitimate,phishing,phishing,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,phishing,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,phishing,legitimate
80,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,phishing
81,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate
82,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate
83,legitimate,suspicious,legitimate,phishing,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,suspicious,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate
84,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,suspicious,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate
85,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate,phishing,phishing,legitimate,suspicious,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing
86,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,phishing,phishing
87,legitimate,suspicious,legitimate,legitimate,phishing,phishing,legitimate,suspicious,phishing,phishing,legitimate,phishing,legitimate,phishing,suspicious,suspicious,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
88,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
89,phishing,suspicious,phishing,legitimate,phishing,phishing,phishing,phishing,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,legitimate,legitimate,phishing
90,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing
91,phishing,legitimate,phishing,legitimate,phishing,legitimate,suspicious,suspicious,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,suspicious,phishing,legitimate
