,classif,odor,habitat,cap_colour
220,Etable,Almond,Meadows,White
223,Etable,Almond,Woods,White
225,Etable,Anise,Grasses,White
226,Etable,Almond,Grasses,White
227,Etable,Almond,Grasses,Yellow
228,Poisonous,Pungent,Urban,Brown
229,Etable,Almond,Grasses,Yellow
230,Etable,None,Urban,Gray
231,Poisonous,Pungent,Urban,White
232,Etable,Anise,Paths,Yellow
233,Etable,None,Urban,Brown
234,Etable,Anise,Grasses,White
235,Etable,Anise,Woods,White
236,Etable,Anise,Grasses,White
237,Etable,Anise,Grasses,Yellow
238,Etable,Anise,Grasses,Yellow
239,Etable,Almond,Paths,Yellow
242,Etable,Almond,Meadows,White
243,Poisonous,Pungent,Urban,White
244,Etable,Almond,Woods,White
245,Etable,Anise,Grasses,White
246,Etable,Anise,Woods,White
249,Etable,None,Grasses,Brown
250,Etable,Almond,Grasses,Yellow
251,Poisonous,Pungent,Grasses,Brown
252,Etable,None,Urban,Brown
254,Etable,Anise,Grasses,White
255,Etable,Anise,Meadows,White
256,Etable,None,Urban,Brown
257,Etable,Almond,Meadows,White
259,Etable,Almond,Meadows,White
260,Etable,Anise,Grasses,Brown
261,Poisonous,Pungent,Grasses,White
262,Etable,Almond,Grasses,White
263,Etable,Almond,Meadows,White
264,Etable,Anise,Woods,White
265,Etable,None,Urban,Gray
267,Etable,Almond,Meadows,Yellow
268,Etable,Almond,Meadows,White
269,Poisonous,Pungent,Urban,Brown
270,Etable,Anise,Meadows,White
271,Poisonous,Pungent,Urban,Brown
272,Etable,Anise,Grasses,White
273,Etable,Almond,Meadows,Yellow
274,Etable,Almond,Paths,Yellow
275,Etable,Almond,Paths,Brown
276,Etable,Almond,Grasses,Brown
277,Etable,Almond,Meadows,White
278,Etable,None,Grasses,Brown
279,Etable,Anise,Meadows,Yellow
281,Etable,Almond,Meadows,Yellow
282,Etable,None,Urban,Brown
283,Etable,Anise,Meadows,Yellow
284,Etable,Anise,Meadows,White
285,Etable,Almond,Grasses,Brown
286,Etable,Almond,Meadows,Yellow
287,Etable,Almond,Grasses,White
288,Etable,Anise,Paths,Brown
289,Etable,None,Urban,Gray
290,Etable,None,Urban,Gray
291,Etable,Anise,Grasses,Yellow
292,Etable,Anise,Meadows,Yellow
293,Etable,Anise,Grasses,White
294,Etable,Almond,Meadows,White
295,Etable,Almond,Meadows,Yellow
296,Etable,Almond,Meadows,Yellow
298,Etable,Almond,Woods,Yellow
299,Poisonous,Pungent,Grasses,White
300,Etable,None,Grasses,White
301,Etable,Almond,Grasses,White
303,Etable,Almond,Grasses,White
305,Etable,None,Woods,Brown
306,Etable,Anise,Meadows,White
307,Etable,Anise,Meadows,Yellow
308,Etable,Almond,Grasses,Brown
309,Etable,None,Grasses,White
312,Etable,Anise,Grasses,Yellow
313,Etable,Almond,Woods,White
314,Etable,Almond,Grasses,Yellow
316,Etable,Almond,Woods,Yellow
317,Etable,Almond,Meadows,White
318,Etable,Anise,Woods,White
319,Etable,Anise,Woods,White
320,Etable,Anise,Meadows,Yellow
321,Etable,Almond,Woods,Yellow
322,Etable,Almond,Grasses,White
323,Etable,Almond,Meadows,Yellow
324,Etable,Anise,Paths,Brown
325,Etable,Anise,Grasses,White
326,Etable,Almond,Meadows,Yellow
327,Poisonous,Pungent,Urban,Brown
328,Etable,Anise,Grasses,Yellow
331,Etable,Anise,Meadows,White
332,Etable,Anise,Meadows,Yellow
333,Etable,Almond,Grasses,Yellow
334,Etable,Anise,Grasses,White
335,Etable,None,Woods,Brown
336,Etable,Almond,Grasses,Brown
337,Etable,Anise,Grasses,Yellow
338,Etable,None,Urban,Gray
339,Etable,Anise,Grasses,Brown
340,Etable,Almond,Grasses,White
341,Etable,Almond,Grasses,White
342,Etable,Almond,Meadows,Yellow
343,Etable,Almond,Woods,Yellow
344,Etable,Anise,Grasses,Yellow
345,Etable,None,Grasses,Brown
348,Etable,None,Grasses,Gray
349,Etable,None,Urban,Brown
350,Etable,None,Grasses,Gray
351,Etable,Almond,Paths,Brown
352,Etable,Almond,Grasses,White
353,Etable,Almond,Meadows,Yellow
354,Etable,Anise,Paths,Yellow
355,Etable,None,Urban,Gray
356,Etable,Almond,Paths,Brown
357,Poisonous,Pungent,Urban,Brown
358,Etable,Almond,Paths,Yellow
359,Etable,Almond,Grasses,Yellow
361,Etable,None,Grasses,Brown
362,Etable,None,Grasses,Brown
363,Etable,Almond,Paths,Brown
365,Etable,None,Urban,Brown
366,Etable,Almond,Paths,Yellow
367,Etable,Almond,Woods,Yellow
368,Etable,Almond,Grasses,Yellow
369,Etable,None,Grasses,Gray
370,Etable,Almond,Grasses,Yellow
371,Etable,Anise,Grasses,Brown
372,Etable,Almond,Meadows,Yellow
373,Etable,None,Urban,Brown
374,Etable,Almond,Meadows,White
375,Etable,Anise,Grasses,White
376,Etable,None,Urban,Brown
377,Etable,Anise,Meadows,Yellow
378,Etable,Anise,Grasses,Yellow
379,Etable,Almond,Grasses,Yellow
380,Poisonous,Pungent,Urban,Brown
381,Etable,None,Grasses,White
382,Etable,Almond,Meadows,White
383,Etable,Almond,Grasses,White
384,Etable,None,Woods,Brown
386,Etable,Anise,Paths,Brown
387,Etable,None,Grasses,Brown
388,Etable,Anise,Meadows,Yellow
392,Etable,Almond,Grasses,White
393,Etable,None,Urban,Gray
395,Etable,None,Grasses,Gray
396,Etable,Anise,Meadows,White
397,Etable,Anise,Meadows,Yellow
398,Etable,None,Urban,Gray
399,Poisonous,Pungent,Urban,Brown
400,Etable,Anise,Grasses,White
401,Etable,Almond,Meadows,White
403,Etable,Anise,Meadows,Yellow
405,Etable,Anise,Meadows,Yellow
406,Etable,Anise,Grasses,Yellow
407,Etable,Almond,Meadows,White
408,Etable,Almond,Grasses,White
409,Etable,Anise,Paths,Brown
411,Etable,None,Grasses,Brown
412,Etable,Anise,Paths,Brown
413,Etable,Anise,Grasses,Yellow
414,Poisonous,Pungent,Grasses,Brown
415,Etable,Almond,Grasses,Yellow
418,Etable,Anise,Grasses,Yellow
419,Etable,None,Grasses,Gray
420,Etable,Anise,Grasses,White
421,Etable,Almond,Meadows,White
422,Poisonous,Pungent,Urban,Brown
423,Etable,Anise,Grasses,Brown
425,Etable,Almond,Woods,White
426,Etable,Almond,Paths,Brown
427,Etable,Almond,Meadows,White
428,Etable,None,Grasses,White
429,Etable,None,Urban,Gray
430,Etable,Almond,Grasses,White
431,Etable,Anise,Grasses,Yellow
432,Etable,Anise,Grasses,Yellow
433,Etable,Anise,Grasses,Yellow
434,Etable,Anise,Woods,White
435,Etable,Almond,Meadows,White
436,Etable,Almond,Woods,Yellow
437,Etable,Anise,Meadows,White
438,Etable,Anise,Meadows,Yellow
439,Etable,Almond,Paths,Brown
441,Etable,Anise,Meadows,White
442,Etable,Almond,Paths,Yellow
443,Etable,Anise,Meadows,White
444,Etable,Anise,Meadows,Yellow
446,Etable,Anise,Grasses,White
448,Etable,Anise,Meadows,White
449,Etable,None,Woods,Brown
451,Etable,Anise,Grasses,White
452,Etable,Anise,Meadows,Yellow
453,Etable,Anise,Woods,Yellow
454,Etable,Anise,Meadows,White
455,Etable,None,Grasses,Gray
456,Etable,Almond,Grasses,White
457,Etable,Anise,Meadows,Yellow
458,Etable,Almond,Paths,Yellow
459,Etable,Almond,Paths,Brown
460,Etable,Almond,Meadows,White
461,Etable,Anise,Grasses,Yellow
462,Etable,Almond,Grasses,White
463,Etable,Almond,Meadows,Yellow
464,Etable,None,Urban,Brown
465,Etable,Almond,Grasses,Brown
466,Etable,Almond,Meadows,White
467,Etable,Anise,Grasses,Yellow
468,Etable,Anise,Grasses,Yellow
470,Etable,Anise,Grasses,Yellow
471,Etable,Almond,Meadows,White
472,Etable,Almond,Woods,White
473,Etable,None,Urban,Gray
474,Etable,Anise,Woods,Yellow
475,Etable,None,Urban,Gray
476,Etable,None,Urban,Brown
477,Etable,Almond,Grasses,White
478,Etable,Almond,Woods,White
479,Etable,Anise,Meadows,Yellow
480,Etable,Almond,Meadows,Yellow
481,Etable,Anise,Grasses,Yellow
482,Etable,Anise,Woods,White
484,Etable,Almond,Woods,White
485,Etable,Almond,Grasses,Yellow
486,Etable,Anise,Meadows,White
487,Etable,None,Urban,Brown
489,Etable,Almond,Paths,Brown
490,Etable,Almond,Woods,Yellow
491,Poisonous,Pungent,Grasses,Brown
494,Etable,Almond,Grasses,Yellow
495,Etable,Almond,Meadows,Yellow
496,Etable,None,Grasses,White
497,Etable,Almond,Grasses,Brown
498,Etable,Almond,Grasses,White
500,Etable,Almond,Grasses,Yellow
501,Etable,Almond,Grasses,Yellow
502,Etable,Anise,Meadows,White
503,Etable,Almond,Meadows,Yellow
505,Poisonous,Pungent,Grasses,Brown
507,Etable,None,Grasses,Brown
509,Etable,None,Urban,Gray
510,Etable,None,Urban,Brown
511,Etable,Almond,Grasses,Yellow
512,Etable,Almond,Woods,White
513,Etable,None,Urban,Gray
515,Etable,None,Grasses,White
516,Etable,Anise,Paths,Brown
517,Etable,Almond,Grasses,Yellow
518,Etable,Anise,Grasses,White
519,Etable,Almond,Grasses,Yellow
520,Etable,Anise,Meadows,White
522,Etable,Almond,Paths,Yellow
523,Poisonous,Pungent,Urban,Brown
525,Etable,Anise,Grasses,Yellow
526,Etable,Almond,Paths,Brown
527,Etable,Almond,Meadows,Yellow
528,Etable,None,Urban,Brown
529,Etable,Almond,Paths,Yellow
530,Etable,Almond,Paths,Brown
531,Etable,Almond,Grasses,White
532,Poisonous,Pungent,Grasses,White
533,Etable,Anise,Paths,Brown
535,Etable,None,Grasses,White
536,Etable,Almond,Meadows,White
537,Etable,None,Urban,Brown
538,Etable,Anise,Meadows,Yellow
539,Etable,Almond,Woods,White
540,Etable,Almond,Meadows,Yellow
541,Etable,None,Grasses,Gray
543,Etable,Almond,Grasses,Yellow
544,Etable,None,Grasses,Brown
546,Etable,Anise,Meadows,Yellow
547,Etable,None,Urban,Gray
548,Etable,Anise,Woods,Yellow
549,Etable,Almond,Meadows,Yellow
550,Etable,None,Urban,Brown
551,Etable,None,Grasses,Gray
552,Etable,Anise,Paths,Yellow
553,Etable,Anise,Woods,White
554,Etable,Anise,Grasses,Yellow
555,Etable,Almond,Paths,Yellow
556,Poisonous,Pungent,Urban,Brown
557,Etable,Anise,Woods,White
559,Etable,Almond,Meadows,Yellow
560,Etable,Almond,Grasses,Yellow
561,Etable,Almond,Woods,Yellow
562,Etable,Almond,Woods,Yellow
564,Etable,Almond,Meadows,White
566,Etable,Almond,Grasses,Yellow
567,Etable,None,Grasses,Gray
568,Poisonous,Pungent,Grasses,Brown
570,Etable,Almond,Meadows,White
571,Etable,Anise,Woods,Yellow
572,Etable,Almond,Grasses,Yellow
573,Etable,Anise,Grasses,White
574,Etable,Almond,Grasses,Brown
575,Etable,Anise,Grasses,Yellow
576,Etable,None,Urban,Brown
577,Etable,Anise,Grasses,Yellow
578,Etable,Anise,Grasses,Yellow
580,Etable,Almond,Meadows,White
581,Etable,Almond,Meadows,Yellow
582,Etable,Anise,Grasses,White
583,Etable,Almond,Grasses,Yellow
584,Etable,Almond,Grasses,Yellow
585,Etable,Almond,Meadows,White
586,Etable,None,Urban,Gray
587,Etable,None,Urban,Brown
588,Etable,None,Urban,Gray
589,Etable,Almond,Meadows,White
592,Etable,Anise,Grasses,Yellow
593,Poisonous,Pungent,Grasses,White
594,Etable,Almond,Meadows,Yellow
595,Poisonous,Pungent,Urban,Brown
596,Etable,Anise,Meadows,Yellow
597,Etable,Anise,Meadows,White
599,Poisonous,Pungent,Urban,Brown
600,Etable,None,Grasses,Gray
601,Etable,Anise,Grasses,Brown
602,Etable,None,Grasses,White
603,Etable,Anise,Paths,Brown
604,Etable,Anise,Meadows,White
605,Etable,Almond,Grasses,White
606,Etable,None,Grasses,Gray
610,Etable,None,Grasses,Brown
611,Etable,None,Grasses,Gray
612,Etable,None,Grasses,White
613,Poisonous,Pungent,Urban,White
614,Etable,Anise,Grasses,Yellow
616,Etable,None,Grasses,Gray
618,Etable,Almond,Meadows,Yellow
620,Etable,Anise,Grasses,Yellow
621,Etable,Anise,Grasses,White
622,Etable,Anise,Woods,White
623,Etable,Almond,Paths,Yellow
624,Etable,None,Urban,Gray
626,Etable,Anise,Woods,Yellow
627,Etable,None,Urban,Gray
628,Etable,Almond,Grasses,White
629,Etable,Almond,Grasses,White
630,Etable,None,Grasses,Brown
631,Etable,Almond,Meadows,Yellow
632,Etable,None,Woods,Brown
633,Etable,Anise,Grasses,Brown
634,Etable,Almond,Grasses,Brown
635,Etable,Almond,Meadows,Yellow
636,Etable,Almond,Grasses,Yellow
637,Etable,Anise,Meadows,Yellow
638,Etable,None,Grasses,Brown
640,Etable,Anise,Meadows,Yellow
641,Etable,Almond,Grasses,Brown
642,Etable,Anise,Paths,Brown
643,Etable,Almond,Grasses,Brown
644,Etable,Anise,Paths,Yellow
645,Etable,Anise,Woods,Yellow
646,Etable,Almond,Meadows,White
648,Etable,Almond,Grasses,Yellow
649,Etable,Anise,Woods,White
650,Etable,Almond,Grasses,Yellow
651,Etable,Anise,Meadows,Yellow
652,Etable,Almond,Grasses,Yellow
653,Poisonous,Pungent,Grasses,Brown
656,Etable,None,Grasses,White
657,Etable,Almond,Grasses,Yellow
658,Etable,Anise,Paths,Yellow
659,Etable,None,Urban,Gray
660,Etable,Almond,Grasses,White
661,Etable,Anise,Meadows,White
662,Poisonous,Pungent,Grasses,Brown
663,Poisonous,Pungent,Grasses,Brown
664,Etable,Anise,Grasses,White
665,Etable,Almond,Meadows,Yellow
666,Etable,Almond,Grasses,Brown
668,Etable,Anise,Paths,Yellow
669,Etable,Almond,Grasses,White
670,Etable,Almond,Grasses,Yellow
671,Etable,None,Urban,Brown
674,Etable,Anise,Paths,Yellow
676,Etable,None,Urban,Gray
677,Etable,Anise,Grasses,Brown
679,Etable,Almond,Meadows,White
681,Etable,Almond,Meadows,White
682,Etable,Almond,Woods,Yellow
683,Etable,Almond,Grasses,Yellow
684,Etable,None,Woods,Brown
685,Etable,Almond,Meadows,White
686,Etable,None,Urban,Gray
687,Etable,Almond,Meadows,White
688,Etable,Anise,Meadows,Yellow
690,Etable,Almond,Grasses,Yellow
691,Etable,Anise,Grasses,White
692,Etable,Almond,Paths,Brown
693,Etable,None,Grasses,Gray
694,Poisonous,Pungent,Grasses,Brown
695,Etable,Almond,Grasses,White
696,Etable,Almond,Meadows,Yellow
697,Poisonous,Pungent,Grasses,Brown
698,Poisonous,Pungent,Urban,Brown
699,Etable,None,Grasses,Brown
701,Etable,None,Grasses,Gray
702,Etable,Anise,Paths,Yellow
703,Etable,Anise,Meadows,White
704,Etable,Anise,Paths,Yellow
706,Etable,Anise,Meadows,Yellow
707,Etable,None,Urban,Brown
708,Etable,Almond,Meadows,White
709,Etable,Almond,Meadows,Yellow
711,Etable,None,Grasses,Brown
712,Etable,Anise,Meadows,White
713,Etable,Anise,Grasses,Yellow
717,Etable,Almond,Paths,Yellow
718,Etable,Almond,Grasses,Brown
720,Etable,Almond,Grasses,Brown
721,Etable,Almond,Grasses,White
722,Etable,Anise,Woods,Yellow
723,Etable,None,Grasses,Brown
724,Etable,Almond,Grasses,Yellow
725,Poisonous,Pungent,Grasses,Brown
726,Etable,Anise,Grasses,White
727,Etable,None,Grasses,White
728,Etable,Almond,Meadows,White
730,Etable,Anise,Grasses,Yellow
731,Etable,None,Grasses,Brown
732,Poisonous,Pungent,Grasses,White
733,Poisonous,Pungent,Urban,White
734,Etable,Anise,Grasses,White
735,Etable,Almond,Grasses,White
737,Poisonous,Pungent,Urban,White
738,Etable,Anise,Grasses,White
739,Etable,None,Urban,Gray
743,Etable,Almond,Meadows,White
745,Etable,Anise,Grasses,White
746,Etable,Anise,Grasses,White
747,Etable,Almond,Meadows,White
748,Poisonous,Pungent,Urban,Brown
749,Etable,Almond,Woods,Yellow
750,Etable,Almond,Paths,Brown
751,Etable,Anise,Grasses,Yellow
752,Etable,Almond,Woods,White
753,Etable,Anise,Grasses,Yellow
757,Etable,None,Grasses,White
759,Etable,Almond,Paths,Brown
760,Etable,Anise,Grasses,White
761,Etable,Anise,Grasses,Brown
762,Etable,Anise,Grasses,White
763,Etable,None,Urban,Brown
764,Etable,Anise,Paths,Brown
766,Etable,Anise,Woods,White
767,Etable,None,Urban,Brown
768,Etable,Almond,Meadows,Yellow
769,Etable,Almond,Meadows,White
770,Etable,Almond,Grasses,White
772,Etable,Almond,Meadows,Yellow
773,Etable,Almond,Woods,Yellow
774,Etable,None,Grasses,Gray
775,Etable,Almond,Grasses,Yellow
776,Poisonous,Pungent,Urban,Brown
777,Etable,Almond,Grasses,Brown
778,Etable,Anise,Grasses,Yellow
781,Etable,None,Urban,Brown
782,Etable,Anise,Meadows,Yellow
783,Etable,Anise,Meadows,White
784,Etable,Almond,Grasses,White
785,Poisonous,Pungent,Grasses,Brown
786,Etable,None,Urban,Brown
787,Etable,Anise,Grasses,Yellow
788,Poisonous,Pungent,Grasses,Brown
789,Etable,Anise,Paths,Yellow
790,Etable,Anise,Grasses,Yellow
791,Etable,Anise,Paths,Brown
792,Etable,Almond,Grasses,White
793,Etable,Almond,Grasses,Yellow
794,Poisonous,Pungent,Grasses,Brown
795,Poisonous,Pungent,Urban,Brown
796,Etable,Anise,Grasses,Yellow
797,Etable,None,Grasses,White
798,Poisonous,Pungent,Grasses,White
799,Etable,Anise,Paths,Brown
800,Etable,Almond,Meadows,White
802,Poisonous,Pungent,Urban,Brown
803,Etable,Anise,Grasses,Yellow
804,Etable,Almond,Grasses,White
806,Etable,Almond,Grasses,White
807,Etable,Almond,Grasses,Yellow
808,Etable,Anise,Meadows,Yellow
809,Etable,Anise,Woods,Yellow
811,Etable,Almond,Meadows,Yellow
812,Poisonous,Pungent,Urban,White
814,Poisonous,Pungent,Urban,Brown
817,Etable,Almond,Grasses,Yellow
818,Etable,Almond,Woods,White
819,Etable,Anise,Grasses,White
820,Etable,Anise,Meadows,Yellow
821,Etable,None,Urban,Gray
822,Etable,Almond,Meadows,Yellow
824,Etable,Almond,Paths,Brown
825,Etable,Anise,Meadows,Yellow
826,Etable,Anise,Woods,White
827,Etable,Almond,Woods,White
830,Etable,None,Urban,Gray
832,Etable,Anise,Grasses,Brown
833,Etable,Anise,Grasses,Yellow
834,Etable,Anise,Paths,Yellow
836,Etable,Anise,Meadows,Yellow
837,Poisonous,Pungent,Urban,White
838,Etable,Almond,Grasses,Yellow
839,Etable,Almond,Grasses,White
841,Poisonous,Pungent,Grasses,Brown
842,Etable,Almond,Grasses,White
843,Etable,None,Urban,Gray
844,Etable,Almond,Grasses,Yellow
845,Etable,None,Grasses,Gray
846,Etable,Almond,Meadows,Yellow
847,Etable,Anise,Grasses,White
849,Etable,Anise,Woods,White
850,Etable,Anise,Grasses,White
852,Etable,None,Urban,Gray
853,Etable,None,Grasses,White
855,Etable,Anise,Paths,Brown
856,Etable,Anise,Woods,Yellow
857,Etable,Almond,Grasses,Yellow
859,Poisonous,Pungent,Grasses,Brown
860,Etable,Anise,Paths,Brown
861,Etable,Almond,Grasses,Yellow
863,Etable,Almond,Grasses,White
864,Etable,Almond,Meadows,Yellow
865,Etable,Anise,Grasses,Yellow
866,Etable,None,Urban,Brown
867,Etable,Anise,Paths,Yellow
868,Etable,None,Urban,Gray
869,Etable,Anise,Grasses,Yellow
872,Etable,Almond,Meadows,Yellow
873,Etable,None,Woods,Brown
875,Etable,Anise,Paths,Yellow
876,Etable,Almond,Meadows,White
878,Etable,Anise,Grasses,Yellow
882,Etable,Almond,Grasses,White
883,Etable,Anise,Grasses,White
884,Etable,Anise,Grasses,Yellow
885,Etable,Almond,Woods,White
887,Etable,Almond,Grasses,Yellow
888,Etable,Almond,Paths,Yellow
889,Etable,Anise,Grasses,Yellow
890,Etable,None,Woods,Brown
892,Etable,Almond,Grasses,White
893,Etable,Almond,Meadows,Yellow
894,Etable,Anise,Meadows,Yellow
895,Etable,Anise,Grasses,Brown
896,Etable,Almond,Grasses,Yellow
897,Etable,Anise,Meadows,White
898,Etable,Anise,Meadows,White
899,Etable,Anise,Grasses,Yellow
900,Etable,Anise,Paths,Yellow
901,Etable,None,Grasses,White
902,Etable,None,Grasses,Brown
903,Etable,None,Grasses,White
904,Etable,Anise,Meadows,Yellow
905,Etable,None,Grasses,White
906,Poisonous,Pungent,Grasses,Brown
907,Etable,None,Grasses,Gray
908,Poisonous,Pungent,Urban,Brown
909,Poisonous,Pungent,Grasses,Brown
910,Etable,Anise,Grasses,White
911,Etable,None,Grasses,Gray
912,Etable,Anise,Grasses,White
913,Etable,None,Grasses,Gray
914,Etable,None,Grasses,Gray
915,Etable,Almond,Grasses,White
917,Etable,None,Woods,Gray
918,Etable,None,Grasses,Brown
919,Etable,None,Grasses,White
920,Etable,None,Grasses,Brown
921,Etable,None,Grasses,Brown
922,Etable,Anise,Grasses,Yellow
925,Etable,None,Grasses,Brown
926,Etable,None,Grasses,Gray
927,Poisonous,Pungent,Urban,Brown
928,Etable,None,Urban,Gray
929,Etable,Almond,Meadows,White
930,Etable,None,Grasses,Gray
931,Etable,None,Grasses,Gray
933,Etable,Anise,Grasses,Yellow
