,classif,cap_shape,cap_surface,cap_colour,bruises,odor,gill_attach,gill_space,gill_size,gill_color,stalk_shape,stalk_surf_above_ring,stalk_surf_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
42,Etable,x,f,Brown,No,None,f,Close,Narrow,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Solitary,Urban
43,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Grasses
44,Etable,x,s,Yellow,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
45,Etable,x,y,White,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
46,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
47,Etable,x,s,White,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
48,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Scattered,Paths
49,Etable,f,y,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Black,Scattered,Paths
50,Etable,x,y,Brown,Bruises,Almond,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Black,Scattered,Grasses
51,Etable,x,s,White,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
52,Etable,b,s,White,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
53,Poisonous,x,y,Brown,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
54,Poisonous,x,s,White,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
55,Etable,b,y,Yellow,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
56,Etable,f,f,Gray,No,None,f,Crowded,Broad,Brown,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
57,Etable,b,s,White,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
58,Etable,x,s,Yellow,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
59,Etable,x,y,Brown,Bruises,Almond,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Paths
60,Etable,s,f,Gray,No,None,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
61,Etable,b,y,Yellow,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
62,Etable,b,s,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
63,Etable,b,y,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
64,Etable,b,y,White,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
65,Etable,f,s,Brown,No,None,f,Crowded,Broad,Black,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
66,Etable,x,s,White,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
67,Etable,f,y,Yellow,Bruises,Almond,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
68,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
69,Etable,x,f,Gray,No,None,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
70,Etable,f,f,Yellow,Bruises,Anise,f,Crowded,Narrow,Pink,t,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Woods
71,Etable,b,y,White,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
72,Etable,f,f,Yellow,Bruises,Anise,f,Crowded,Narrow,White,t,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Woods
73,Etable,x,y,Brown,Bruises,Almond,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Black,Scattered,Paths
74,Etable,b,s,Yellow,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
75,Etable,f,s,Yellow,Bruises,Anise,f,Crowded,Narrow,Pink,t,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Woods
76,Etable,x,s,White,Bruises,Anise,f,Crowded,Narrow,Brown,t,Smooth,s,White,White,p,w,o,Pendant,Purple,Several,Woods
77,Etable,f,y,Brown,Bruises,Anise,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Solitary,Paths
78,Poisonous,x,y,Brown,Bruises,Pungent,f,Close,Narrow,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
79,Etable,f,y,Brown,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Solitary,Grasses
80,Etable,x,s,Brown,No,None,f,Crowded,Broad,Black,t,Fibrous,s,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
81,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
82,Etable,f,f,Gray,No,None,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Solitary,Urban
83,Etable,x,f,Gray,No,None,f,Crowded,Broad,Brown,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
84,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Black,Scattered,Grasses
85,Etable,x,s,Brown,No,None,f,Crowded,Broad,Black,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
86,Etable,b,s,White,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
87,Etable,x,s,White,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
88,Etable,f,y,Brown,Bruises,Anise,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Grasses
89,Etable,s,f,Brown,No,None,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
90,Etable,x,f,Brown,No,None,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Solitary,Urban
91,Etable,b,s,White,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
92,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
93,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
94,Etable,x,s,Brown,No,None,f,Crowded,Broad,Brown,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
95,Etable,x,s,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
96,Etable,f,y,Brown,Bruises,Anise,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
97,Etable,x,s,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
98,Etable,b,s,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
99,Etable,x,y,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
100,Etable,x,f,Brown,No,None,f,Crowded,Broad,Pink,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
101,Etable,b,s,Yellow,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
102,Etable,f,y,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
103,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Paths
104,Etable,b,y,White,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
105,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
106,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Solitary,Grasses
107,Etable,b,y,White,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
108,Etable,b,y,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
109,Etable,x,s,Yellow,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
110,Etable,x,s,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
111,Etable,s,f,Gray,No,None,f,Close,Narrow,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Solitary,Urban
112,Etable,x,f,White,Bruises,Almond,f,Crowded,Narrow,White,t,Smooth,s,White,White,p,w,o,Pendant,Purple,Several,Woods
113,Etable,x,s,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
114,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
115,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
116,Etable,s,f,Gray,No,None,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Solitary,Urban
117,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Grasses
118,Etable,x,s,Yellow,Bruises,Anise,f,Crowded,Narrow,Pink,t,Smooth,s,White,White,p,w,o,Pendant,Purple,Several,Woods
119,Etable,s,f,Brown,No,None,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Solitary,Urban
120,Poisonous,x,s,White,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Grasses
121,Etable,x,y,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
122,Poisonous,f,y,Brown,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Grasses
123,Etable,f,s,Gray,No,None,f,Crowded,Broad,Black,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
124,Etable,x,s,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
125,Etable,x,s,White,No,None,f,Crowded,Broad,Brown,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
126,Etable,b,s,Yellow,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
127,Etable,f,f,Gray,No,None,f,Crowded,Broad,Chocolate,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
128,Etable,x,s,White,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
129,Etable,b,s,White,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
130,Etable,b,s,White,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
131,Etable,b,y,White,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
132,Etable,f,s,White,Bruises,Anise,f,Crowded,Narrow,White,t,Smooth,s,White,White,p,w,o,Pendant,Purple,Several,Woods
133,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
134,Etable,f,s,White,Bruises,Almond,f,Crowded,Narrow,Pink,t,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Woods
135,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
136,Etable,f,f,White,Bruises,Anise,f,Crowded,Narrow,White,t,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Woods
137,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
138,Poisonous,x,s,Brown,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Grasses
139,Etable,b,s,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
140,Etable,x,y,Brown,Bruises,Almond,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Paths
141,Etable,b,y,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
142,Etable,s,f,Brown,No,None,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
143,Etable,f,y,Brown,Bruises,Almond,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Paths
144,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
145,Etable,x,f,Gray,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
146,Etable,f,f,White,No,None,f,Crowded,Broad,Black,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
147,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
148,Etable,b,s,Yellow,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
149,Etable,b,y,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
150,Etable,x,y,White,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
151,Etable,x,s,Brown,No,None,f,Crowded,Broad,Pink,t,Fibrous,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
152,Etable,x,y,White,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
153,Etable,s,f,Brown,No,None,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
154,Etable,x,s,White,Bruises,Almond,f,Crowded,Narrow,White,t,Smooth,s,White,White,p,w,o,Pendant,Purple,Several,Woods
155,Etable,x,y,Brown,Bruises,Anise,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Black,Scattered,Grasses
156,Etable,b,y,Yellow,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
157,Etable,x,y,White,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
158,Etable,b,y,White,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
159,Etable,b,s,Yellow,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
160,Etable,b,s,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
161,Etable,b,y,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
162,Etable,x,f,Brown,No,None,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Solitary,Urban
163,Etable,f,y,Brown,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Solitary,Grasses
164,Etable,x,y,White,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
165,Etable,f,y,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Solitary,Paths
166,Etable,b,s,White,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
167,Etable,b,s,White,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
168,Etable,x,y,Brown,Bruises,Anise,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Grasses
169,Etable,b,s,White,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
170,Etable,x,f,Gray,No,None,f,Close,Narrow,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Solitary,Urban
171,Etable,b,s,Yellow,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
172,Etable,x,f,Yellow,Bruises,Anise,f,Crowded,Narrow,Brown,t,Smooth,s,White,White,p,w,o,Pendant,Purple,Several,Woods
173,Etable,b,y,Yellow,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
174,Etable,f,y,Yellow,Bruises,Anise,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
175,Etable,b,y,White,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
176,Etable,b,y,White,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
177,Etable,b,y,Yellow,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
178,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
179,Etable,b,s,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
180,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
181,Etable,s,f,Brown,No,None,f,Close,Narrow,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Solitary,Urban
182,Etable,f,f,Brown,No,None,f,Close,Narrow,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
183,Etable,x,s,Yellow,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
184,Etable,f,y,Brown,Bruises,Almond,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Black,Scattered,Paths
185,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
186,Etable,b,s,White,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
187,Etable,f,f,Gray,No,None,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
188,Etable,b,y,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
189,Etable,x,y,Brown,Bruises,Almond,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Solitary,Paths
